Council,Today [2023-10-19],This week,Total cases,Today (per 100 ppl),This week (per 100 ppl),Total cases (per 100 ppl)
Mosman,0,1,12429,0,0.00324833522819555,40.37355855124249
Goulburn Mulwaree,1,9,13801,0.0031691703112125247,0.02852253280091272,43.73771946504405
Gunnedah,0,1,5449,0,0.007880220646178092,42.939322301024426
Narromine,0,0,2733,0,0,42.306501547987615
Upper Lachlan Shire,0,0,2457,0,0,29.695431472081218
Yass Valley,0,0,6017,0,0,34.73817908896715
Broken Hill,0,2,8004,0,0.011581446522670681,46.348948983728064
Walgett,0,0,1786,0,0,30.645161290322584
Berrigan,0,4,1915,0,0.04553734061930783,21.801001821493625
Leeton,0,2,4243,0,0.017632019747862118,37.406329895089485
Lachlan,0,2,2033,0,0.032846115946789295,33.388076859911315
Coolamon,0,0,1739,0,0,40.526683756700066
Bland,0,2,2151,0,0.0336870473303015,36.23041940373926
Glen Innes Severn,0,0,2583,0,0,29.110785529133327
Correctional settings,0,0,1778,No population,No population,No population
Forbes,0,1,3421,0,0.010080645161290322,34.48588709677419
Gwydir,0,1,1305,0,0.018871485185884128,24.627288167578786
Murrumbidgee,0,1,1198,0,0.02553626149131767,30.59244126659857
Warren,0,0,1200,0,0,44.18262150220913
Uralla,0,1,1545,0,0.016823687752355317,25.992597577388967
Temora,0,0,1968,0,0,31.367548613324836
Coonamble,2,6,1491,0.051190171487074485,0.15357051446122344,38.162272843614026
Edward River,0,3,2841,0,0.03302873499944952,31.278212044478696
Gilgandra,0,0,1581,0,0,37.38472452116339
Oberon,0,1,1699,0,0.018453589223103892,31.352648090053513
Kyogle,0,0,1794,0,0,20.414201183431953
Tenterfield,0,0,1308,0,0,20.216383307573416
Narrandera,0,0,2059,0,0,35.148514851485146
Junee,0,0,1854,0,0,27.771120431396046
Weddin,0,0,1066,0,0,29.6440489432703
Lockhart,0,0,964,0,0,29.579625652040505
Bourke,0,0,1052,0,0,40.07619047619048
Cobar,0,0,1433,0,0,32.44283450305637
Bogan,0,0,970,0,0,38.355081059707395
Walcha,2,6,1066,0.0644122383252818,0.19323671497584538,34.3317230273752
Central Darling,0,0,689,0,0,37.67085839256424
Balranald,0,0,789,0,0,34.21509106678231
Hay,0,2,910,0,0.06795786612300374,30.9208290859667
Brewarrina,0,0,492,0,0,31.680618158403092
Carrathool,0,1,517,0,0.0357653791130186,18.490701001430615
Unincorporated NSW,0,0,89,0,0,9.261186264308012
Hotel Quarantine,0,0,43,No population,No population,No population
