Postcode,Today [2023-10-19],This week,Total cases,Today (per 100 ppl),This week (per 100 ppl),Total cases (per 100 ppl)
2127,2,5,11283,0.00937822376441902,0.023445559411047548,52.9072493669699
2128,0,0,1106,0,0,23.230413778617937
2130,0,0,4242,0,0,53.723404255319146
2131,0,4,12741,0,0.01531745423910546,48.789921115110666
2132,0,11,5899,0,0.09040848195939838,48.48360318895373
2133,0,4,5553,0,0.03442933379239112,47.79652263728697
2134,0,3,9551,0,0.016451878256100907,52.377296408006586
2135,0,7,13353,0,0.02453127737865779,46.79516383388821
2136,0,1,4057,0,0.01256281407035176,50.96733668341709
2137,0,5,14713,0,0.017009695526450076,50.052730056132
2138,1,5,9669,0.004530832313896063,0.022654161569480316,43.808617643061034
2140,1,4,10275,0.004976362279173924,0.019905449116695697,51.13212241851207
2141,0,4,16245,0,0.0122710678896831,49.83587446697549
2142,0,7,13195,0,0.023773943757641625,44.81388398315446
2143,0,2,4587,0,0.019238168526356292,44.122739515198155
2144,0,10,18932,0,0.023718602499940705,44.904058252887744
2145,1,24,41946,0.0011393414606357525,0.02734419505525806,47.79081690782728
2146,3,13,9686,0.015910898965791568,0.06894722885176346,51.37098912755238
2147,3,13,18577,0.007828401440425865,0.033923072908512084,48.47607118626376
2148,8,20,35123,0.011845183452278717,0.02961295863069679,52.00479729929817
2150,0,5,15946,0,0.01342173784661638,42.80460634042896
2151,1,3,10675,0.004299226139294927,0.012897678417884782,45.894239036973346
2152,0,1,5940,0,0.0080768920119538,47.97673855100557
2153,3,21,32035,0.004873848553279287,0.03411693987295501,52.04457946810066
2154,1,9,20724,0.00238333571666905,0.02145002145002145,49.39224939224939
2155,5,27,41505,0.006974570715172481,0.0376626818619314,57.89591150664677
2156,2,3,6140,0.014693997502020424,0.022040996253030635,45.110572331202704
2157,0,2,1735,0,0.049850448654037885,43.245264207377865
2158,1,3,4073,0.010845986984815618,0.03253796095444685,44.17570498915401
2159,0,3,2160,0,0.05905511811023622,42.51968503937008
2160,1,13,17998,0.002477823479855295,0.03221170523811884,44.595866990435596
2161,1,11,15642,0.0028475425707614327,0.03132296827837576,44.54126089185033
2162,3,7,9025,0.014306833897658449,0.03338261242786972,43.039725308789166
2163,0,2,4335,0,0.019372336303758234,41.989538938395974
2164,1,2,9558,0.00478537589127626,0.00957075178255252,45.738622768818495
2165,1,2,19101,0.0021706099413935317,0.004341219882787063,41.46082049055785
2166,2,5,21039,0.0036013973421687613,0.009003493355421903,37.88489934094429
2167,1,2,5196,0.009616309260505818,0.019232618521011637,49.96634291758823
2168,2,9,20046,0.004302370606204018,0.01936066772791808,43.12266058598288
2170,2,17,51921,0.001675715530531537,0.014243582009518065,43.50241303036397
2171,0,7,18055,0,0.017630909503060222,45.47515301110747
2172,0,0,1570,0,0,53.16627158821537
2173,1,3,7868,0.006572893387669252,0.019718680163007755,51.71552517418168
2174,0,2,6309,0,0.03707823507601038,116.96329254727475
2175,0,0,736,0,0,37.570188871873405
2176,0,8,21686,0,0.016010566974202976,43.40064442532071
2177,0,2,7361,0,0.011816838995568686,43.49187592319055
2178,0,0,1591,0,0,35.63269876819709
2179,0,10,8739,0,0.09017945711966815,78.807827576878
2190,0,8,11862,0,0.02858776443682104,42.388507718696395
2191,0,1,3242,0,0.01483019427554501,48.07948984131692
2192,0,2,6955,0,0.014744913005013271,51.27543497493365
2193,0,0,9067,0,0,51.68443253719432
2194,1,8,12208,0.0036844626211267086,0.02947570096901367,44.97991967871486
2195,0,1,11940,0,0.003441985337142464,41.09730492548102
2196,0,5,15725,0,0.01443001443001443,45.38239538239538
2197,0,2,4474,0,0.020088388911209322,44.937725994375256
2198,0,2,4493,0,0.02018774603815484,45.351771474714845
2199,0,2,8391,0,0.00998053795099556,41.87334697340187
2200,0,21,20916,0,0.04390641660917017,43.730790942733485
2203,0,0,7843,0,0,50.96828697686509
2204,0,5,14417,0,0.017204597068336658,49.60773518684192
2205,0,1,12545,0,0.00388651379712398,48.75631558492033
2206,0,3,10031,0,0.014116318464144552,47.200263504611335
2207,0,3,14100,0,0.00952018278750952,44.74485910129474
2208,1,3,6305,0.0073475385745775165,0.022042615723732548,46.326230712711244
2209,1,4,8380,0.005880969183721477,0.023523876734885908,49.282521759585975
2210,1,6,16699,0.0029565680158472048,0.017739408095083228,49.37172929663247
2211,0,1,8617,0,0.005514807257486351,47.52109413775989
2212,1,2,8892,0.005744155321959906,0.011488310643919811,51.07702912286748
2213,1,3,11967,0.004176586058555736,0.012529758175667208,49.981205362736496
2214,0,0,2307,0,0,53.889278206026624
2216,0,7,14520,0,0.022288024962587957,46.231731779539594
2217,0,4,14269,0,0.013340003335000834,47.587126896781726
2218,0,3,8022,0,0.016992353440951572,45.437553101104506
2219,0,3,6413,0,0.020875374017117806,44.62459119059216
2220,0,5,16598,0,0.013779798814937301,45.743420146065866
2221,0,2,8542,0,0.010976948408342482,46.88254665203074
2222,1,3,6457,0.007530120481927711,0.022590361445783132,48.62198795180723
2223,0,6,10865,0,0.026809651474530828,48.54781054512958
2224,0,3,7032,0,0.019407426575236125,45.49100789235347
2225,0,0,3034,0,0,53.396691305878214
2226,1,2,7125,0.0076359193646915085,0.015271838729383017,54.405925473427
2227,0,2,7993,0,0.01287912937085453,51.47144053062013
2228,1,6,11255,0.005020836471356128,0.030125018828136764,56.509514485113215
2229,0,3,15912,0,0.009586502204895507,50.84680769476577
2230,0,3,15585,0,0.009450307134981888,49.094345566230906
2231,0,0,1167,0,0,46.494023904382466
2232,1,6,18744,0.0028443837642574735,0.01706630258554484,53.315129277242086
2233,0,6,17335,0,0.01987083954297069,57.41016724623282
2234,0,2,16954,0,0.00637795777791951,54.065948083423685
2250,2,13,35185,0.0028479480534275054,0.018511662347278784,50.10252612992339
2251,3,9,15961,0.008806176064813456,0.026418528194440367,46.85179205682919
2256,0,0,7537,0,0,46.21091354996935
2257,0,4,14063,0,0.012989965251842952,45.66947033416686
2258,0,0,2630,0,0,49.66012084592145
2259,0,5,34739,0,0.007688049695553232,53.41503167476474
2260,1,3,12164,0.0039016777214202106,0.011705033164260631,47.46000780335544
2261,3,10,26772,0.0054764512595837905,0.018254837531945966,48.87185104052574
2262,0,1,11086,0,0.004637788702346721,51.41452555421575
2263,2,8,11447,0.007894840721588442,0.03157936288635377,45.18612087001145
2264,0,0,7775,0,0,49.782302471507236
2265,0,0,3868,0,0,60.25860725969777
2267,0,0,1344,0,0,48.18931516672643
2278,0,0,1477,0,0,54.90706319702603
2280,0,1,14000,0,0.003663272034581288,51.28580848413803
2281,0,1,7024,0,0.006608948516291058,46.421254378428394
2282,0,0,8702,0,0,56.53953609252161
2283,0,1,12033,0,0.004149549773849537,49.93153242873148
2284,0,1,6960,0,0.009144947416552356,63.64883401920439
2285,0,3,19176,0,0.009098077273002972,58.154909929035
2286,0,0,2629,0,0,62.6250595521677
2287,0,3,22544,0,0.007491571981520789,56.29666625046823
2289,1,6,11532,0.005066882853668423,0.03040129712201054,58.43129306850426
2290,0,1,19226,0,0.0028655758374645387,55.09356105109322
2291,0,1,7902,0,0.007046719751955465,55.68317947995208
2292,0,0,1537,0,0,59.06994619523443
2293,0,0,2097,0,0,76.11615245009075
2294,0,0,1163,0,0,53.668666359021685
2295,1,2,3922,0.01226391954868776,0.02452783909737552,48.0990924699534
2296,0,0,1220,0,0,60.78724464374689
2297,0,0,1078,0,0,58.23878984332793
2298,0,0,5425,0,0,54.953403565640194
2299,0,0,6300,0,0,51.49583128984796
2300,0,0,6991,0,0,55.722939582337006
2302,0,0,838,0,0,132.59493670886076
2303,0,0,5383,0,0,55.77660346078127
2304,0,2,8867,0,0.012608750472828143,55.90089522128357
2305,0,0,7288,0,0,56.031367725071114
2306,0,1,1602,0,0.028993911278631487,46.44824586836764
2307,0,0,2392,0,0,52.68722466960353
2308,0,0,367,0,0,23.4955185659411
2311,0,0,389,0,0,41.38297872340426
2312,0,0,597,0,0,37.40601503759398
2315,0,1,6383,0,0.006339546088500064,40.46532268289591
2316,0,2,2829,0,0.03279226102639777,46.38465322183964
2317,0,2,2559,0,0.03022517757291824,38.67311470454889
2318,0,0,6750,0,0,50.53529984277907
2319,0,0,2826,0,0,40.7439446366782
2320,0,1,22236,0,0.002576655501159495,57.294511723782534
2321,0,3,11417,0,0.017342042892652756,65.99803456847216
2322,0,2,14012,0,0.00932618325950105,65.33923991606434
2323,0,2,14222,0,0.007356186552890981,52.30984257760777
2324,0,3,11770,0,0.012152144853566655,47.676914975493176
2325,1,7,15705,0.003211200667929739,0.02247840467550817,50.43190648983655
2326,0,0,4114,0,0,51.62504705734722
2327,0,0,4195,0,0,50.6092411629871
2328,0,0,1062,0,0,43.170731707317074
2329,0,1,771,0,0.04488330341113106,34.605026929982046
2330,0,10,10713,0,0.04849660523763337,51.954413191076625
2333,0,2,6853,0,0.01436678399540263,49.22778536024711
2334,0,0,1860,0,0,59.90338164251207
2335,0,1,4306,0,0.014277555682467162,61.4791547687036
2336,0,0,1051,0,0,39.9164451196354
2337,0,1,3259,0,0.012759984688018375,41.58479009825189
2338,0,0,486,0,0,34.68950749464668
2339,0,0,248,0,0,36.41703377386197
2340,1,10,25872,0.0019326659193691779,0.019326659193691777,50.00193266591937
2341,0,0,531,0,0,33.586337760910816
2342,0,0,170,0,0,34.97942386831276
2343,0,2,1780,0,0.03927729772191673,34.95679497250589
2344,0,0,237,0,0,31.102362204724407
2345,0,0,291,0,0,39.6457765667575
2346,0,0,962,0,0,30.443037974683545
2347,0,0,508,0,0,26.239669421487605
2350,1,4,11301,0.0037805754035764244,0.015122301614305698,42.724282635817175
2352,0,0,1251,0,0,45.42483660130719
2353,0,0,450,0,0,39.43908851884312
2354,2,6,1066,0.05651313930488839,0.16953941791466517,30.121503249505512
2355,0,0,160,0,0,23.28966521106259
2356,0,0,35,0,0,22.151898734177216
2357,0,0,1476,0,0,35.9736777967341
2358,0,0,1354,0,0,36.14522156967432
2359,0,1,191,0,0.1349527665317139,25.775978407557353
2360,0,0,5819,0,0,39.34149144750186
2361,0,0,280,0,0,31.215161649944257
2365,0,0,1092,0,0,28.586387434554975
2369,0,0,373,0,0,41.95725534308212
2370,0,0,2381,0,0,30.857957490927944
2371,0,0,205,0,0,17.77970511708586
2372,0,0,1072,0,0,23.218540177604506
2379,0,0,81,0,0,26.73267326732673
2380,0,1,4999,0,0.009238728750923873,46.18440502586844
2381,0,0,450,0,0,39.19860627177701
2382,0,0,518,0,0,41.47317854283427
2386,0,0,88,0,0,25.071225071225072
2387,0,0,51,0,0,26.984126984126984
2388,0,0,1005,0,0,37.68278965129359
2390,0,1,3223,0,0.01120322652924042,36.107999103741875
2395,0,0,165,0,0,25.30674846625767
2396,0,1,332,0,0.1180637544273908,39.197166469893745
2397,0,0,87,0,0,23.015873015873016
2398,0,0,60,0,0,25.974025974025974
2399,0,0,200,0,0,34.542314335060446
2400,0,1,4102,0,0.009979044007584073,40.93403851910987
2401,0,0,99,0,0,30.182926829268293
2402,0,0,618,0,0,34.428969359331475
2403,0,0,213,0,0,29.01907356948229
2404,0,1,501,0,0.05230125523012552,26.202928870292887
2405,0,0,108,0,0,21.386138613861387
2406,0,0,212,0,0,28.22902796271638
2408,0,0,60,0,0,16.129032258064516
2409,0,0,187,0,0,18.57000993048659
2410,0,0,57,0,0,20.503597122302157
2411,0,0,27,0,0,22.689075630252102
2415,0,0,137,0,0,35.128205128205124
2420,0,0,1597,0,0,37.38295880149813
2421,0,0,958,0,0,47.66169154228856
2422,0,1,1994,0,0.01818512456810329,36.26113838879796
2423,0,0,1137,0,0,37.46293245469522
2424,0,0,133,0,0,30.715935334872977
2425,0,0,732,0,0,40.24189114898296
2426,0,0,311,0,0,43.254520166898466
2427,0,1,1223,0,0.028901734104046242,35.346820809248555
2428,0,5,9328,0,0.020044097013429546,37.394267388254164
2429,0,1,3823,0,0.01005126143330988,38.42597245954367
2430,1,7,16577,0.002798376941374003,0.01958863858961802,46.388694557156846
2431,0,1,1775,0,0.01847063169560399,32.78537125969708
2439,0,0,1483,0,0,44.12377268670039
2440,1,2,8971,0.004432624113475178,0.008865248226950355,39.76507092198582
2441,1,1,1472,0.022487069934787496,0.022487069934787496,33.1009669440072
2443,0,0,2820,0,0,29.069168126997216
2444,0,8,20846,0,0.01587459073320766,41.365214803055856
2445,0,0,2802,0,0,39.21623512946116
2446,2,3,5774,0.013750429700928154,0.02062564455139223,39.69749054657958
2447,0,0,2604,0,0,34.63687150837989
2448,0,2,3277,0,0.02166612501354133,35.499945834687466
2449,0,0,695,0,0,31.193895870736085
2450,1,4,17003,0.002135611318739989,0.008542445274959957,36.311799252536034
2452,0,0,5773,0,0,37.26920593931569
2453,0,0,587,0,0,21.789161098737935
2454,1,1,2738,0.012518778167250876,0.012518778167250876,34.2764146219329
2455,0,0,1051,0,0,33.77249357326478
2456,0,1,6006,0,0.006186587478346944,37.15664439495175
2460,0,1,11063,0,0.003352329869259135,37.08682534361381
2462,0,0,784,0,0,32.28995057660626
2463,0,2,2386,0,0.025856496444731737,30.84680025856496
2464,0,0,2076,0,0,29.8963133640553
2465,0,0,103,0,0,35.88850174216028
2466,0,0,414,0,0,23.363431151241535
2469,0,0,972,0,0,23.75366568914956
2470,1,2,5561,0.006445375443119562,0.012890750886239123,35.84273283918788
2471,0,0,771,0,0,29.84901277584205
2472,0,0,493,0,0,24.873864783047427
2473,0,2,1123,0,0.06140620202640467,34.479582437826224
2474,0,0,1762,0,0,28.012718600953892
2475,0,0,99,0,0,25.31969309462916
2476,0,0,169,0,0,22.44355909694555
2477,0,2,4568,0,0.01537633581917429,35.11955101099408
2478,1,6,12250,0.003240650722665111,0.019443904335990667,39.69797135264761
2479,0,0,2097,0,0,39.73095869647594
2480,1,6,16282,0.0022049744222967013,0.013229846533780208,35.90139354383489
2481,0,3,6272,0,0.022271714922048998,46.56273199703043
2482,0,1,2493,0,0.014003640946646127,34.9110768799888
2483,0,2,4009,0,0.017102787754403968,34.28253805370275
2484,0,3,6152,0,0.015078407720144753,30.920788098110172
2485,1,5,5413,0.00651890482398957,0.03259452411994785,35.28683181225554
2486,4,7,12006,0.012169151201703681,0.02129601460298144,36.5257073319136
2487,1,4,5116,0.006258997308631158,0.02503598923452463,32.021030230957
2488,0,0,1221,0,0,34.78632478632478
2489,0,1,2750,0,0.012338062924120914,33.929673041332514
2490,0,0,206,0,0,30.93093093093093
2500,1,12,23692,0.002181500872600349,0.02617801047120419,51.68411867364747
2502,0,2,6550,0,0.015331544653123802,50.210808738980454
2505,0,0,2811,0,0,54.23499903530773
2506,0,2,4204,0,0.024473813020068527,51.443954968184045
2508,0,1,5179,0,0.010460251046025104,54.17364016736401
2515,1,1,6199,0.008315316813570598,0.008315316813570598,51.546648927324135
2516,0,0,3708,0,0,56.75799785703352
2517,0,1,7773,0,0.0067764450769126515,52.67330758284204
2518,0,6,10972,0,0.03014620911420389,55.12736773350751
2519,1,4,8843,0.005505395287381634,0.022021581149526535,48.68421052631579
2525,0,16,6985,0,0.1282667949334616,55.99647266313933
2526,1,4,9784,0.006259389083625438,0.02503755633450175,61.241862794191285
2527,1,3,15529,0.004188481675392671,0.012565445026178013,65.04293193717278
2528,0,3,12418,0,0.012339585389930897,51.077657124053964
2529,0,5,16069,0,0.017137373183438442,55.076089936934466
2530,1,6,20065,0.002841958677920823,0.01705175206752494,57.02390087248131
2533,0,4,8120,0,0.02330459100442787,47.30831973898858
2534,0,0,2719,0,0,42.92706030944111
2535,0,6,3317,0,0.07680491551459294,42.46031746031746
2536,0,4,7147,0,0.0215610176800345,38.52414833980164
2537,0,1,4502,0,0.00796305144131231,35.84965758878802
2538,1,2,1194,0.03793626707132018,0.07587253414264036,45.295902883156295
2539,0,4,8436,0,0.020147073637554146,42.490178301601695
2540,1,8,20354,0.002086288909288158,0.016690311274305265,42.46432445965117
2541,5,24,14383,0.018315689219385325,0.08791530825304955,52.686911608483825
2545,0,0,314,0,0,28.88684452621895
2546,0,0,3111,0,0,33.12746246406133
2548,0,0,2770,0,0,33.34938598603419
2549,0,0,1265,0,0,31.073446327683616
2550,0,3,5850,0,0.018425254882692543,35.92924702125046
2551,0,0,1309,0,0,36.89402480270575
2555,0,0,47,0,0,20.982142857142858
2556,0,1,955,0,0.033003300330033,31.518151815181515
2557,1,2,10811,0.006083465141744738,0.012166930283489476,65.76834164740237
2558,0,4,5908,0,0.035035473416834544,51.74739423666462
2559,0,1,1621,0,0.03235198964736331,52.44257521837593
2560,1,20,44553,0.0012056181807221652,0.024112363614443303,53.71390680571463
2563,0,0,120,0,0,38.095238095238095
2564,0,4,7040,0,0.027266530334014997,47.9890933878664
2565,1,14,16923,0.0037248109658434836,0.05214735352180877,63.03497597496927
2566,0,7,14408,0,0.024223129628347984,49.85812166931968
2567,0,4,22173,0,0.009083270885845993,50.350841337965804
2568,0,0,577,0,0,42.70910436713546
2569,0,1,653,0,0.06414368184733804,41.88582424631174
2570,4,15,33588,0.007420186617693435,0.027825699816350382,62.307307028771774
2571,0,3,6722,0,0.022314787265694733,50
2572,0,4,2748,0,0.07955449482895784,54.653937947494036
2573,1,6,2947,0.017959770114942528,0.10775862068965517,52.92744252873563
2574,0,1,2735,0,0.01656726308813784,45.31146454605699
2575,2,5,8163,0.011759863585582408,0.02939965896395602,47.9978832245546
2576,0,2,5788,0,0.014154281670205236,40.96249115357396
2577,2,14,7037,0.011940298507462687,0.08358208955223881,42.01194029850746
2578,0,2,1052,0,0.06988120195667366,36.75751222921035
2579,0,0,1669,0,0,39.13247362250879
2580,1,9,13808,0.0032068755411602478,0.02886187987044223,44.280537472340704
2581,0,0,1023,0,0,44.401041666666664
2582,0,0,5803,0,0,44.263920671243326
2583,0,0,1446,0,0,30.82498401193775
2584,0,0,214,0,0,36.45655877342419
2585,0,0,76,0,0,33.92857142857143
2586,1,1,821,0.03855050115651504,0.03855050115651504,31.649961449498846
2587,0,2,944,0,0.0687757909215956,32.46217331499312
2588,0,0,69,0,0,26.33587786259542
2590,1,1,2561,0.014074595355383532,0.014074595355383532,36.04503870513722
2594,0,3,5302,0,0.02546905509805586,45.01231004329739
2619,0,0,5157,0,0,52.106698999696874
2620,0,6,22536,0,0.013867061107515948,52.0846815198299
2621,0,0,3213,0,0,46.87089715536105
2622,0,0,1445,0,0,33.07392996108949
2623,0,0,219,0,0,32.44444444444444
2624,0,0,59,No population,No population,No population
2625,0,0,167,0,0,41.13300492610838
2626,0,0,205,0,0,38.03339517625231
2627,0,2,2589,0,0.04114379757251594,53.26064595762188
2628,0,0,841,0,0,41.24570868072585
2629,0,0,207,0,0,37.43218806509946
2630,0,1,3796,0,0.01128286133363421,42.82974162247546
2631,0,0,182,0,0,31.27147766323024
2632,0,0,613,0,0,32.9747175901022
2633,0,0,113,0,0,29.12371134020618
2640,5,7,17632,0.012662715899306082,0.017727802259028515,44.65380134731297
2641,0,0,7089,0,0,44.66074466074466
2642,0,0,2056,0,0,40.64847765915381
2643,0,0,1041,0,0,35.54114032092864
2644,0,0,723,0,0,29.52225398121682
2645,0,0,111,0,0,26.555023923444978
2646,0,0,2171,0,0,32.01120613388381
2647,0,0,809,0,0,35.02164502164502
2648,0,0,794,0,0,31.39580862000791
2649,0,0,9,0,0,31.034482758620687
2650,0,8,27949,0,0.013354477923378683,46.65553793506385
2651,2,4,1475,0.08326394671107411,0.16652789342214822,61.407160699417155
2652,0,0,1699,0,0,34.96604239555464
2653,0,0,827,0,0,32.22915042868277
2655,0,0,502,0,0,35.40197461212976
2656,0,0,462,0,0,34.920634920634924
2658,0,0,495,0,0,32.846715328467155
2659,0,0,318,0,0,34.8302300109529
2660,0,0,577,0,0,34.44776119402985
2661,0,1,868,0,0.15360983102918588,133.33333333333334
2663,0,0,2002,0,0,36.4795918367347
2665,0,0,665,0,0,28.52852852852853
2666,0,0,1807,0,0,31.20359178034882
2668,0,0,110,0,0,23.655913978494624
2669,0,1,461,0,0.0612369871402327,28.230251071647274
2671,0,1,1580,0,0.024324981756263683,38.43347117489662
2672,0,1,648,0,0.06544502617801047,42.40837696335078
2675,0,1,517,0,0.06006006006006006,31.05105105105105
2678,0,0,135,0,0,33.088235294117645
2680,3,16,11197,0.011762860727728985,0.06273525721455459,43.90291718946048
2681,0,1,720,0,0.05672149744753262,40.839478162223486
2700,0,0,2059,0,0,41.841089209510265
2701,0,0,942,0,0,40.90316977854972
2702,0,0,293,0,0,38.250652741514365
2703,0,0,208,0,0,20.90452261306533
2705,0,2,4035,0,0.01937421292260002,39.08747457134554
2706,0,1,451,0,0.09066183136899365,40.888485947416136
2707,0,0,464,0,0,34.78260869565217
2710,0,3,3051,0,0.02910925674364448,29.604114108286435
2711,0,2,911,0,0.05959475566150179,27.145411203814067
2712,0,2,420,0,0.1401541695865452,29.432375613174493
2713,0,0,752,0,0,26.302903112976566
2714,0,2,743,0,0.0702247191011236,26.088483146067418
2715,0,0,531,0,0,36.270491803278695
2716,0,0,283,0,0,25.449640287769782
2717,0,0,477,0,0,34.12017167381975
2720,0,0,3079,0,0,38.52602602602603
2721,0,0,81,0,0,35.21739130434783
2722,0,0,1037,0,0,31.31038647342995
2725,0,0,90,0,0,24.52316076294278
2726,0,0,92,0,0,35.38461538461539
2727,0,0,123,0,0,33.791208791208796
2729,0,0,556,0,0,33.493975903614455
2730,0,0,384,0,0,26.966292134831463
2731,1,4,2071,0.013886960144424386,0.055547840577697544,28.759894459102902
2732,0,0,483,0,0,26.833333333333332
2733,0,0,136,0,0,25.468164794007492
2734,0,0,93,0,0,21.040723981900452
