POA_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
POA2776,40,2077,933,420,2391,0.8,2152,2.7
POA2777,44,2167,893,425,2404,0.7,2014,2.6
POA2778,45,2000,857,420,2273,0.7,1942,2.5
POA2779,41,1950,802,400,2145,0.8,1794,2.6
POA2780,50,1733,687,380,1790,0.7,1238,2.1
POA2782,50,2080,740,430,1978,0.7,1528,2.3
POA2783,45,1849,732,387,1964,0.8,1519,2.4
POA2784,45,1900,729,400,2075,0.8,1765,2.5
POA2785,53,1733,740,380,1833,0.7,1343,2.1
POA2786,51,1590,688,380,1774,0.7,1225,2
POA2787,48,1517,734,280,1766,0.7,1380,2.3
POA2790,47,1517,637,270,1644,0.7,1184,2.2
POA2791,53,1549,742,195,1937,0.6,1359,2.2
POA2792,49,1517,727,240,1897,0.7,1481,2.3
POA2793,55,867,467,185,1212,0.7,916,2.2
POA2794,46,1231,618,230,1459,0.7,1115,2.3
POA2795,39,1733,800,320,2032,0.7,1593,2.5
POA2797,47,1318,804,250,1800,0.8,1488,2.4
POA2798,44,1993,910,320,2376,0.8,2074,2.7
POA2799,40,1408,717,260,1847,0.8,1426,2.5
POA2800,37,1733,854,330,2166,0.7,1713,2.5
POA2803,54,1192,646,200,1375,0.7,1187,2.3
POA2804,48,1206,626,220,1530,0.7,1164,2.3
POA2805,47,1029,567,208,1542,0.8,992,2.4
POA2806,50,1192,699,210,1625,0.7,1245,2.3
POA2807,52,940,485,220,1142,0.8,806,2.1
POA2808,57,867,479,200,1125,0.7,1034,2
POA2809,53,582,537,200,1333,0.8,1037,2.2
POA2810,52,1033,580,200,1404,0.7,1048,2.2
POA2817,45,1083,731,148,1600,0.7,1166,2.3
POA2818,41,1387,816,300,1835,0.7,1469,2.6
POA2820,41,1083,603,230,1414,0.7,1122,2.3
POA2821,39,1213,715,250,1765,0.7,1318,2.5
POA2822,45,1300,699,200,1520,0.8,1292,2.5
POA2823,43,1056,754,180,1661,0.7,1306,2.3
POA2824,46,1050,721,200,1698,0.7,1276,2.3
POA2825,41,1083,780,200,2004,0.8,1451,2.4
POA2826,46,1520,843,165,1937,0.7,1375,2.6
POA2827,46,1083,621,200,1360,0.8,1133,2.3
POA2828,44,460,647,160,1547,0.7,1107,2.3
POA2829,38,906,671,190,1543,0.8,1279,2.4
POA2830,36,1582,874,310,2048,0.8,1695,2.5
POA2831,41,1300,716,250,1724,0.8,1528,2.7
POA2832,38,867,749,175,1678,0.8,1359,2.4
POA2833,39,759,533,180,1262,0.8,1042,2.5
POA2834,53,867,475,195,1188,0.9,793,2
POA2835,36,1159,938,200,2319,0.7,1811,2.3
POA2836,36,894,508,150,1036,0.9,1071,2.5
POA2838,41,1300,425,170,1125,0.9,780,2.4
POA2839,35,733,591,150,1278,0.8,1017,2.3
POA2840,36,940,859,180,1875,0.8,1536,2.5
POA2842,46,737,504,200,1292,0.8,941,2.4
POA2843,47,1000,595,170,1480,0.7,1162,2.4
POA2844,51,1083,581,200,1467,0.7,1020,2.2
POA2845,39,1517,666,275,1947,0.8,1424,2.6
POA2846,55,1062,545,230,1104,0.8,787,2
POA2847,46,1272,576,250,1549,0.7,1150,2.3
POA2848,54,871,451,220,1012,0.7,703,1.9
POA2849,52,1394,582,270,1673,0.7,1172,2.2
POA2850,40,1733,754,360,2093,0.8,1671,2.5
POA2852,42,1517,648,300,1774,0.8,1365,2.5
POA2864,44,1517,729,265,1875,0.8,1375,2.5
POA2865,44,1300,738,210,1921,0.8,1434,2.5
POA2866,42,1621,732,270,1882,0.8,1397,2.5
POA2867,41,940,618,210,1568,0.8,1257,2.6
POA2868,45,1000,618,195,1437,0.7,1190,2.5
POA2869,49,975,540,195,1367,0.7,1056,2.2
POA2870,39,1300,732,260,1871,0.7,1405,2.4
POA2871,42,1257,715,230,1682,0.7,1249,2.3
POA2873,52,813,517,120,1319,0.7,962,2.2
POA2874,50,345,520,100,1286,0.7,931,2.3
POA2875,50,780,593,160,1474,0.7,1160,2.3
POA2876,40,1100,625,200,1476,0.8,1353,2.7
POA2877,39,952,659,200,1692,0.7,1282,2.4
POA2878,42,100,871,150,2031,0.7,1395,2.2
POA2879,52,650,496,176,1096,0.7,841,2
POA2880,44,867,652,220,1632,0.7,1182,2.2
POA2898,46,1400,961,310,1942,0.9,1699,2.2
