POA_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
POA2357,50,1000,588,206,1409,0.7,1145,2.3
POA2358,47,1300,650,250,1535,0.7,1213,2.3
POA2359,48,910,464,190,1182,0.8,987,2.5
POA2360,42,1261,652,270,1497,0.7,1212,2.4
POA2361,52,658,477,185,1159,0.7,917,2.2
POA2365,45,1192,653,250,1491,0.7,1146,2.4
POA2369,47,867,458,180,1039,0.8,890,2.4
POA2370,48,1083,542,225,1354,0.7,955,2.2
POA2371,57,867,458,163,1100,0.8,765,2
POA2372,56,1159,515,250,1248,0.7,933,2.1
POA2379,43,575,677,200,1642,0.8,1474,2.7
POA2380,37,1517,794,300,2041,0.7,1590,2.5
POA2381,42,968,657,250,1507,0.8,1284,2.5
POA2382,43,1200,700,290,1898,0.7,1477,2.3
POA2386,48,0,671,110,1687,0.8,1328,2.5
POA2387,33,0,915,50,2094,0.9,1781,2.6
POA2388,40,1040,699,200,1683,0.8,1292,2.4
POA2390,40,1454,812,260,2040,0.8,1604,2.5
POA2395,54,613,457,150,993,0.7,777,2.1
POA2396,50,672,519,157,1281,0.8,1033,2.2
POA2397,45,680,749,165,1775,0.8,1292,2.4
POA2398,42,618,860,200,1937,0.8,1562,2.9
POA2399,42,867,762,190,1937,0.8,1615,2.5
POA2400,38,1300,859,230,1989,0.8,1592,2.4
POA2401,42,815,759,160,1699,0.8,1406,2.8
POA2402,49,1000,508,228,1306,0.7,972,2.2
POA2403,44,1008,582,200,1205,0.8,1062,2.5
POA2404,57,1083,489,200,1120,0.7,889,2.1
POA2405,43,600,749,173,1875,0.7,1343,2.4
POA2406,41,884,784,170,1812,0.7,1204,2.2
POA2408,40,0,1108,140,2139,0.7,1839,2.4
POA2409,36,867,502,160,1266,0.9,1150,2.9
POA2410,49,600,497,150,1218,0.8,1055,2.3
POA2411,38,269,1125,200,2600,0.8,2416,3
POA2415,50,1625,617,220,1525,0.9,1366,2.6
POA2420,50,1600,648,300,1543,0.7,1235,2.3
POA2421,42,2167,795,300,2103,0.8,1867,2.7
POA2422,55,1300,557,275,1353,0.7,1053,2.2
POA2423,55,1300,526,300,1303,0.7,1040,2.3
POA2424,48,1133,453,235,1312,0.9,1105,2.5
POA2425,47,1733,635,310,1767,0.8,1366,2.5
POA2426,46,1387,501,300,1388,0.8,1125,2.5
POA2427,64,1517,482,340,1076,0.6,889,2
POA2428,58,1517,561,330,1300,0.7,980,2.1
POA2429,51,1387,567,300,1382,0.8,1126,2.4
POA2430,49,1500,582,305,1386,0.7,1107,2.3
POA2431,58,1517,537,330,1254,0.7,997,2.1
POA2439,54,1600,578,350,1415,0.8,1242,2.4
POA2440,45,1300,557,295,1377,0.8,1126,2.4
POA2441,50,1500,546,290,1395,0.8,1123,2.5
POA2443,61,1517,519,330,1236,0.7,913,2
POA2444,47,1800,687,385,1708,0.7,1306,2.3
POA2445,52,1842,666,410,1579,0.7,1330,2.4
POA2446,44,1733,643,350,1567,0.8,1347,2.6
POA2447,50,1400,534,320,1339,0.8,1048,2.4
POA2448,55,1495,528,297,1324,0.7,931,2.1
POA2449,48,1083,494,250,1162,0.8,965,2.4
POA2450,44,1733,694,370,1730,0.8,1386,2.4
POA2452,45,1603,663,370,1582,0.8,1260,2.3
POA2453,55,1220,548,280,1296,0.7,965,2.1
POA2454,47,1517,637,370,1613,0.8,1327,2.5
POA2455,55,1647,590,340,1348,0.7,1071,2.2
POA2456,43,1798,692,395,1656,0.8,1404,2.6
POA2460,45,1300,590,300,1428,0.8,1165,2.4
POA2462,53,1200,535,280,1281,0.8,944,2.3
POA2463,52,1517,563,340,1381,0.7,1129,2.4
POA2464,56,1608,617,400,1435,0.7,1141,2.1
POA2465,45,1300,593,330,1346,0.8,1101,2.4
POA2466,62,1300,488,300,1073,0.7,834,1.9
POA2469,54,1065,467,240,1136,0.8,847,2.2
POA2470,44,1300,615,280,1432,0.8,1145,2.4
POA2471,44,1517,599,300,1503,0.8,1258,2.6
POA2472,45,1517,650,300,1555,0.9,1218,2.4
POA2473,54,1601,623,320,1424,0.8,1058,2.1
POA2474,51,1300,541,280,1341,0.8,1003,2.2
POA2475,53,867,465,210,1125,0.7,845,2.1
POA2476,53,1083,510,200,1264,0.7,918,2.1
POA2477,47,1733,720,390,1811,0.8,1451,2.4
POA2478,48,2000,740,430,1850,0.8,1403,2.3
POA2479,43,2315,886,550,2243,0.9,2048,2.7
POA2480,44,1517,685,310,1729,0.8,1326,2.4
POA2481,40,2383,832,600,2115,0.9,1792,2.4
POA2482,46,1950,635,460,1583,0.9,1333,2.5
POA2483,44,1898,708,480,1731,0.8,1442,2.4
POA2484,47,1733,612,350,1521,0.8,1263,2.5
POA2485,52,1700,638,380,1457,0.8,1096,2
POA2486,48,1891,635,420,1626,0.8,1278,2.4
POA2487,46,2230,767,480,2073,0.8,1542,2.4
POA2488,41,1860,763,450,1952,0.8,1610,2.5
POA2489,43,2036,696,500,1734,0.8,1430,2.6
POA2490,40,2167,786,350,2312,0.9,1989,2.7
POA2500,34,2056,778,400,2137,0.9,1621,2.2
POA2502,39,1755,526,330,1436,0.8,1138,2.5
POA2505,42,1950,648,340,1759,0.8,1308,2.4
POA2506,40,1733,568,290,1541,0.8,1217,2.5
POA2508,39,2540,1007,530,2784,0.9,2548,2.9
POA2515,42,2600,1013,550,2833,0.8,2418,2.7
POA2516,40,2525,952,370,2796,0.8,2331,2.8
POA2517,42,2167,786,400,2368,0.8,1806,2.5
POA2518,41,2167,728,340,2047,0.8,1434,2.3
POA2519,41,2240,755,400,2190,0.8,1685,2.5
POA2525,40,2229,815,430,2427,0.8,2042,2.8
POA2526,39,2167,784,370,2317,0.8,2000,2.7
POA2527,35,2167,794,450,2099,0.8,1884,2.8
POA2528,45,1842,592,350,1505,0.8,1166,2.4
POA2529,40,2167,776,470,2176,0.8,1878,2.7
POA2530,39,2000,722,410,1977,0.8,1653,2.7
POA2533,48,2240,827,480,2183,0.7,1805,2.5
POA2534,47,2167,834,500,2278,0.7,1925,2.5
POA2535,57,2167,720,400,1894,0.7,1384,2.2
POA2536,53,1550,620,350,1423,0.7,1184,2.2
POA2537,55,1517,642,320,1510,0.7,1222,2.2
POA2538,54,1733,596,380,1633,0.8,1353,2.4
POA2539,53,1625,607,350,1419,0.7,1141,2.2
POA2540,49,1733,633,360,1537,0.7,1275,2.3
POA2541,40,1692,635,320,1536,0.7,1235,2.4
POA2545,55,1300,618,300,1403,0.8,1187,2.2
POA2546,59,1473,580,290,1344,0.7,1019,2.1
POA2548,55,1625,692,343,1610,0.7,1228,2.1
POA2549,51,1517,652,330,1621,0.8,1307,2.4
POA2550,49,1421,651,300,1535,0.8,1245,2.3
POA2551,53,1517,571,270,1327,0.7,1015,2.2
POA2555,40,1300,490,505,1312,0.8,1271,3
POA2556,42,2167,686,500,1912,0.8,1833,3.2
POA2557,31,2600,1028,530,2508,0.8,2453,3.2
POA2558,36,1950,788,400,2025,0.8,1878,3
POA2559,28,2500,509,222,1309,0.9,1141,3.1
POA2560,35,2000,722,380,1876,0.8,1609,2.8
POA2563,37,2167,788,500,1968,0.8,1924,3
POA2564,36,1800,592,340,1580,0.9,1378,2.9
POA2565,34,2470,838,420,2195,0.9,2025,3
POA2566,35,2000,734,380,1937,0.9,1772,3.1
POA2567,34,2379,948,470,2567,0.8,2423,3.2
POA2568,54,2500,687,450,2034,0.8,1476,2.6
POA2569,42,2368,861,446,2407,0.8,2250,3.1
POA2570,33,2513,973,500,2434,0.8,2281,3
POA2571,36,2400,946,415,2529,0.8,2326,3
POA2572,39,2318,785,420,2077,0.8,1756,2.7
POA2573,34,2167,792,410,2030,0.8,1739,2.7
POA2574,40,2167,763,415,2101,0.8,1841,2.9
POA2575,42,2167,800,430,2123,0.8,1772,2.6
POA2576,56,2370,829,495,2204,0.7,1677,2.3
POA2577,47,2004,794,400,2070,0.7,1667,2.4
POA2578,59,1820,663,400,1650,0.6,1289,2.2
POA2579,46,2000,744,380,1903,0.7,1589,2.5
POA2580,42,1700,757,320,1948,0.7,1470,2.4
POA2581,42,1885,1039,300,2396,0.8,2118,2.7
POA2582,42,2100,1015,350,2596,0.8,2175,2.7
