POA_CODE_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
POA2727,38,867,684,58,1812,0.8,1267,2.6
POA2729,44,1153,570,150,1536,0.8,1202,2.5
POA2730,50,1006,525,149,1254,0.7,921,2.2
POA2731,46,1532,591,265,1405,0.7,1148,2.4
POA2732,55,1083,518,150,1256,0.7,908,2.1
POA2733,50,715,559,100,1199,0.7,979,2.1
POA2734,48,1246,665,0,1713,0.8,1485,2.8
POA2735,45,737,420,125,933,0.8,833,2.6
POA2736,48,867,549,128,1375,0.8,1093,2.3
POA2737,35,1100,671,200,1526,0.9,1342,2.9
POA2738,39,1517,740,200,1854,0.8,1535,2.7
POA2739,40,1291,600,183,1389,0.8,1143,2.4
POA2745,33,2167,858,440,2257,0.8,2174,3.2
POA2747,33,1989,726,360,1782,0.9,1603,2.8
POA2748,43,2500,710,450,2005,0.8,2072,3.4
POA2749,32,2000,779,380,2004,0.9,1875,3
POA2750,37,1993,702,360,1796,0.8,1446,2.6
POA2752,36,2010,776,360,2121,0.8,1952,3.1
POA2753,39,2000,674,360,1784,0.8,1511,2.7
POA2754,40,2147,679,370,1737,0.8,1475,2.7
POA2755,24,0,1201,0,0,0,0,0
POA2756,35,2058,749,365,1949,0.8,1741,2.9
POA2757,43,2167,737,355,1816,0.8,1723,2.9
POA2758,43,2200,788,340,2162,0.8,2032,3
POA2759,34,1993,757,410,1968,0.9,1916,3.2
POA2760,33,1950,656,360,1539,0.9,1365,2.8
POA2761,32,2000,707,400,1876,1,1883,3.5
POA2762,32,2400,822,470,2120,0.8,2051,3.1
POA2763,33,2167,788,445,2099,0.9,2042,3.2
POA2765,37,2279,695,400,1859,0.9,1665,3
POA2766,35,2000,639,400,1804,1,1756,3.3
POA2767,34,2167,653,345,1800,0.9,1743,3.3
POA2768,34,2492,821,560,2400,0.9,2400,3.5
POA2769,32,2900,1033,640,2610,0.9,2649,3.5
POA2770,31,1700,489,300,1260,1,1159,3.1
POA2773,43,2000,844,430,2428,0.8,2098,2.8
POA2774,40,2058,797,400,2142,0.8,1911,2.8
POA2775,51,1517,575,250,1365,0.8,1029,2.1
POA2776,40,1950,792,380,2036,0.8,1781,2.7
POA2777,43,1959,741,370,2059,0.8,1718,2.7
POA2778,45,1733,708,350,1916,0.8,1655,2.6
POA2779,40,1733,678,350,1799,0.8,1496,2.6
POA2780,48,1560,568,310,1435,0.7,1046,2.1
POA2782,50,1733,631,370,1570,0.7,1239,2.3
POA2783,45,1733,636,333,1678,0.8,1314,2.4
POA2784,43,1760,618,350,1560,0.8,1389,2.4
POA2785,51,1625,604,320,1408,0.7,1079,2.1
POA2786,47,1500,534,295,1286,0.7,1045,2.2
POA2787,45,1430,599,220,1515,0.7,1224,2.4
POA2790,45,1400,518,230,1332,0.8,975,2.3
POA2791,55,1300,476,115,1359,0.7,1045,2.3
POA2792,48,1267,558,108,1406,0.6,1023,2.2
POA2793,53,878,450,145,1079,0.8,896,2.2
POA2794,46,1192,519,190,1240,0.7,968,2.3
POA2795,37,1668,647,275,1631,0.8,1310,2.5
POA2797,45,1300,589,200,1521,0.8,1166,2.5
POA2798,40,1950,786,250,2045,0.8,1687,2.7
POA2799,41,1430,566,230,1469,0.8,1148,2.5
POA2800,37,1668,677,270,1702,0.8,1339,2.5
POA2803,54,948,542,175,1125,0.7,966,2.1
POA2804,46,1083,530,180,1300,0.7,924,2.3
POA2805,47,975,464,120,1144,0.8,900,2.5
POA2806,51,1083,566,150,1228,0.7,1095,2.3
POA2807,53,758,457,120,971,0.8,781,2.2
POA2808,57,910,452,100,945,0.7,831,1.9
POA2809,51,600,523,118,1062,0.8,956,2.2
POA2810,50,968,493,140,1221,0.7,905,2.2
POA2817,48,417,561,0,1162,0.7,1011,2.3
POA2818,41,1300,702,225,1666,0.8,1302,2.6
POA2820,42,1083,481,180,1165,0.8,893,2.4
POA2821,41,1146,591,200,1378,0.8,1092,2.5
POA2822,50,1292,513,128,1131,0.7,912,2.2
POA2823,44,758,595,130,1299,0.7,1037,2.3
POA2824,43,953,629,145,1425,0.7,1060,2.3
POA2825,40,1083,644,170,1606,0.8,1120,2.4
POA2826,46,650,774,100,2111,0.8,1416,2.5
POA2827,45,1083,530,165,1186,0.7,970,2.3
POA2828,44,582,481,120,1146,0.7,924,2.4
POA2829,42,910,538,168,1261,0.8,1019,2.4
POA2830,37,1517,689,265,1602,0.8,1344,2.5
POA2831,41,1266,624,26,1469,0.8,1285,2.6
POA2832,35,909,507,150,1130,0.9,959,2.6
POA2833,38,479,463,132,1062,0.8,907,2.5
POA2834,51,846,434,150,914,0.9,676,2
POA2835,35,1304,751,170,2046,0.7,1628,2.4
POA2836,34,433,447,110,1149,0.9,937,2.8
POA2838,33,542,383,120,871,0.7,758,2.5
POA2839,34,440,447,90,920,0.9,893,2.6
POA2840,36,981,719,135,1560,0.8,1245,2.5
POA2842,48,867,463,138,928,0.8,807,2.4
POA2843,46,925,498,150,1177,0.7,975,2.4
POA2844,49,967,517,166,1117,0.7,871,2.3
POA2845,40,1517,544,200,1470,0.8,1135,2.6
POA2846,51,1400,422,150,881,0.8,719,2.2
POA2847,47,1200,485,218,1297,0.8,1023,2.4
POA2848,50,867,417,190,928,0.7,708,2.1
POA2849,51,1517,470,180,1163,0.7,857,2.2
POA2850,41,1733,590,290,1533,0.8,1229,2.5
POA2852,42,1560,511,250,1338,0.8,1092,2.4
POA2864,44,1400,624,170,1550,0.8,1296,2.6
POA2865,44,1300,602,137,1529,0.8,1254,2.5
POA2866,40,1517,588,225,1483,0.8,1195,2.6
POA2867,44,867,565,100,1258,0.7,1043,2.5
POA2868,46,867,480,108,1205,0.8,982,2.3
POA2869,49,867,460,125,1075,0.8,807,2.2
POA2870,39,1300,581,200,1475,0.8,1154,2.5
POA2871,42,1153,567,180,1323,0.8,1065,2.4
POA2873,49,650,502,105,1474,0.7,770,2.1
POA2874,52,560,491,45,1300,0.7,1009,2.2
POA2875,48,726,547,105,1297,0.8,975,2.4
POA2876,44,889,488,100,1147,0.7,991,2.5
POA2877,38,939,557,160,1259,0.8,1016,2.4
POA2878,41,21,781,40,1562,0.6,1325,2.2
POA2879,46,650,437,95,890,0.8,803,2.2
POA2880,44,953,532,185,1278,0.7,971,2.2
POA2898,44,1867,762,220,1774,0.8,1397,2.2
